Phoenix Suns,8.11
Boston Celtics,7.59
Utah Jazz,6.42
Memphis Grizzlies,6.02
Golden State Warriors,5.5
Miami Heat,4.72
Milwaukee Bucks,3.53
Dallas Mavericks,3.49
Minnesota Timberwolves,2.73
Philadelphia 76ers,2.68
Denver Nuggets,2.46
Cleveland Cavaliers,2.24
Toronto Raptors,2.21
Atlanta Hawks,1.59
Brooklyn Nets,0.76
Charlotte Hornets,0.35
San Antonio Spurs,0.21
Los Angeles Clippers,-0.07
New York Knicks,-0.22
Chicago Bulls,-0.38
New Orleans Pelicans,-1.2
Los Angeles Lakers,-3.03
Washington Wizards,-3.52
Indiana Pacers,-3.69
Sacramento Kings,-5.71
Detroit Pistons,-8.1
Orlando Magic,-8.34
Oklahoma City Thunder,-8.34
Houston Rockets,-8.74
Portland Trail Blazers,-9.27
